benchmark,label,regime,loss,full_mu_on,full_mu_off,full_decision,full_p_on,full_p_off,full_flow_on,full_flow_off,full_required_actual,full_region,full_gross,full_penalty,full_objective,full_access,full_wait_on,full_wait_off,full_wait_E,full_wait_initial_on,full_wait_initial_off,full_exposure,full_utility_on,full_utility_off,full_residual,full_referral_forward,full_referral_reverse,full_solver,full_regional_support,full_search_best,full_search_spread,transferred_mu_on,transferred_mu_off,transferred_decision,transferred_p_on,transferred_p_off,transferred_flow_on,transferred_flow_off,transferred_required_actual,transferred_region,transferred_gross,transferred_penalty,transferred_objective,transferred_access,transferred_wait_on,transferred_wait_off,transferred_wait_E,transferred_wait_initial_on,transferred_wait_initial_off,transferred_exposure,transferred_utility_on,transferred_utility_off,transferred_residual,transferred_referral_forward,transferred_referral_reverse
Referral-omission benchmark,L572_s30_d0.35,F2,,262.5859275441005,709.4140724558995,262.5859275441005,30.341418689675884,47.06095924974049,0.0,572.0,30.0,F,34723.63438625848,0.0,34723.63438625848,1.0,0.019273048538065517,0.009309767120230596,0.016055334108553525,0.024892415476059252,0.016055334108553525,0.016055334108553528,-1.8544550561827577e-07,-1.7001796059901153e-07,1.7001796059901153e-07,0.0,210.7,regional-validated,F,34723.63438625848,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Referral-omission benchmark,L572_s30_d0.35,F0,0.0,476.25,495.75,476.25,60.0,40.0,0.0,0.0,30.0,B,1830.0,5720.0,-3890.0,0.0,0.0021470746108427268,0.0021470746108427268,0.002898550724637681,0.0031615673644659155,0.002898550724637681,0.002898550724637681,-28.24617820719271,-1.444873859366613,0.0,0.0,10.5,regional-validated,B,-3890.0,0.0,157.0006666666667,814.9993333333333,157.0006666666667,60.0,40.0,0.0,0.0,30.0,B,1830.0,5720.0,-3890.0,0.0,0.00682590750440271,0.0012738864321753139,0.0036629540587162623,0.008107941424953401,0.0036629540587162623,0.0036629540587162623,-28.783057613665427,-1.481588494778039,0.0,0.0,10.5
Referral-omission benchmark,L572_s30_d0.35,F1,8374.977315326632,262.5859275441005,709.4140724558995,262.5859275441005,50.515587974648696,40.0,0.0,572.0,30.0,F,34723.634386258476,0.0,34723.634386258476,1.0,0.019273048538065517,0.009309767120230596,0.016055334108553525,0.024892415476059252,0.016055334108553525,0.016055334108553528,-20.174169470418317,-1.7001795349358417e-07,1.7001795349358417e-07,0.0,210.7,regional-validated,F,34723.634386258476,0.0,733.3999998494282,238.60000015057176,733.3999998494282,31.806071995956735,40.0,495.3073620672028,15.764162557485548,30.0,BVF,26957.94182468496,609.2847537531168,26348.657070931844,0.8934816864067978,0.0061957857503862615,0.051339285714285636,0.053507810726920825,0.02492351950480855,0.053507810726920825,0.027341196448696214,4.440892098500626e-15,1.2434497875801753e-14,1.2434497875801753e-14,173.35757672352096,76.69260874835228
Referral-omission benchmark,L572_s30_d0.5,F2,,326.49063062244625,645.5093693775538,326.49063062244625,60.0,24.513458445102415,0.0,567.2103010897524,30.0,BF,32555.998931443322,47.8969891024758,32508.101942340847,0.9916264005065601,0.03586095692877671,0.020704333136226674,0.03863481160061503,0.04938314098899197,0.03863481160061503,0.03863481160061503,-31.516427176022987,7.993605777301127e-15,7.993605777301127e-15,0.0,298.6051505448762,regional-validated,BF,32508.101942340847,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Referral-omission benchmark,L572_s30_d0.5,F0,0.0,478.5,493.5,478.5,60.0,40.0,0.0,0.0,30.0,B,2100.0,5720.0,-3620.0,0.0,0.002157497303128371,0.002157497303128371,0.0032362459546925564,0.0032901833872707657,0.0032362459546925564,0.003236245954692556,-31.41078748651564,-10.483279395900755,0.0,0.0,15.0,regional-validated,B,-3620.0,0.0,157.0006666666667,814.9993333333333,157.0006666666667,60.0,40.0,0.0,0.0,30.0,B,2100.0,5720.0,-3620.0,0.0,0.007042220459058877,0.0012738864321753139,0.004794996661704753,0.008720469290655541,0.004794996661704753,0.004794996661704753,-32.00166073462405,-10.60837726631275,0.0,0.0,15.0
Referral-omission benchmark,L572_s30_d0.5,F1,7696.726170939866,326.4906306224461,645.5093693775539,326.4906306224461,29.026916890204895,40.0,0.0,567.2103010897522,30.0,BF,32555.998931443326,47.896989102478074,32508.101942340847,0.9916264005065598,0.03586095692877678,0.020704333136226525,0.03863481160061491,0.049383140988992,0.03863481160061491,0.03863481160061491,-0.5433440662278954,0.0,0.0,0.0,298.6051505448761,regional-validated,BF,32508.101942340847,0.0,733.3999998494282,238.60000015057176,733.3999998494282,31.806071995956735,40.0,470.152861420845,0.0,30.0,BV,25829.84715719253,1018.47138579155,24811.37577140098,0.8219455619245541,0.006025171200590579,0.022703280182876096,0.025715865783171386,0.015025724224700564,0.025715865783171386,0.01566693668491335,8.881784197001252e-16,-0.054596655934620486,8.881784197001252e-16,164.55350149729574,97.27675074864787
Referral-omission benchmark,L572_s30_d0.65,F2,,383.1514816452623,588.8485183547377,383.1514816452623,28.97736033821679,35.396672035000336,0.0,510.5494500407421,30.0,BF,29315.054128188025,614.505499592579,28700.548628595447,0.892568968602696,0.03145213983735019,0.020704333124998003,0.041148224019275634,0.04585401824409666,0.041148224019275634,0.04114822401927563,-1.4210854715202004e-14,-8.881784197001252e-15,8.881784197001252e-15,0.0,351.3571425264824,regional-validated,BF,28700.548628595447,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Referral-omission benchmark,L572_s30_d0.65,F0,0.0,480.75000000000006,491.24999999999994,480.75000000000006,60.0,40.0,0.0,0.0,30.0,B,2370.0,5720.0,-3350.0,0.0,0.0021680216802168017,0.0021680216802168026,0.0035772357723577236,0.003420054200542005,0.0035772357723577236,0.0035772357723577236,-34.57553929539296,-19.522059620596206,0.0,0.0,19.5,regional-validated,B,-3350.0,0.0,157.0006666666667,814.9993333333333,157.0006666666667,60.0,40.0,0.0,0.0,30.0,B,2370.0,5720.0,-3350.0,0.0,0.007272692011190247,0.0012738864321753139,0.006001136239448975,0.009373089694997389,0.006001136239448975,0.006001136239448975,-35.22475421991035,-19.743464899020104,0.0,0.0,19.5
Referral-omission benchmark,L572_s30_d0.65,F1,31348.421428015914,724.3248840866737,247.6751159133263,724.3248840866737,28.089316046025054,39.999999999999986,537.2964097525406,0.0,30.0,BV,27795.675734411663,347.03590247459374,27448.63983193707,0.9393293876792669,0.022078203102987918,0.033759408008596635,0.04811024002553878,0.03891678711192649,0.04811024002553878,0.039402959036632795,-9.769962616701378e-15,-5.536929161258024,9.769962616701378e-15,188.0537434133892,141.73493321870296,regional-validated,BV,27448.63983193707,0.0,733.3999998494282,238.60000015057176,733.3999998494282,31.806071995956735,40.0,0.0,0.0,30.0,B,1820.2184039211563,5720.0,-3899.781596078844,0.0,0.0014007564087560084,0.00479386385080623,0.005704355516497636,0.0033972808395301805,0.005704355516497636,0.005704355516497635,-0.016408560540072226,-1.5812909908647672,0.0,0.0,19.5
Referral-omission benchmark,L572_s30_d0.8,F2,,731.546844130396,240.45315586960396,731.546844130396,15.951634589665852,80.0,516.6174900193736,0.0,30.0,BV,27796.472532671265,553.8250998062642,27242.647432865,0.9031774301037999,0.021609260234420318,0.03374156765342227,0.05102897584095852,0.039469401778755804,0.05102897584095852,0.04010382571907611,-1.7763568394002505e-14,-40.366080754511685,1.7763568394002505e-14,180.81612150678075,168.65289720542458,regional-validated,BV,27242.647432865,0.0,,,,,,,,,,,,,,,,,,,,,,,,
