group,label,regime,demand,required,d1,d2,gamma,dE,value,premium,travel,preference,cost_on,cost_off,capacity,cap_on,cap_off,penalty,followup_fee,copay,revenue_E,elasticity,recurrent,servers,nu,mu_on,mu_off,decision,p_on,p_off,flow_on,flow_off,required_actual,region,gross,objective,access,wait_on,wait_off,wait_E,wait_initial_on,wait_initial_off,exposure,utility_on,utility_off,residual,referral_forward,referral_reverse,regional_support,regional_target_v,regional_target_f,regional_nfev,solver,search_best,search_spread,regional_candidates
referral,L878_s30_d0,online,878.0,30.0,0.35,0.0,-1.0,-1.0,50.0,30.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,0.0,1.0,1.0,1.0,0.0,False,0,54.0,101.39691264006078,870.6030873599392,101.39691264006078,28.880103376794477,40.0,70.45679012345678,807.5432098765432,30.0,VF,36522.92283915266,36522.92283915266,1.0,0.0323204925728187,0.11904760572298695,0.11904760572298695,0.07398715457586413,0.11904760572298695,0.11555111370829409,2.238538193921613e-06,2.238538193921613e-06,0.0,24.659876543209872,0.0,VF,,,,regional-validated,36522.92283915266,0.0,
referral,L878_s30_d0.1,dual,878.0,30.0,0.35,0.1,-1.0,-1.0,50.0,30.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,796.0893906216438,1.0,1.0,1.0,0.0,False,0,54.0,95.30987167020956,876.6901283297905,95.30987167020956,23.518995641156295,53.271671968598234,0.0,798.3910609378356,30.0,BF,46078.06943513643,45281.980044514785,0.9093292265806784,0.08018753891824748,0.020704333520248662,0.02872308741207341,0.09024061951247317,0.02872308741207341,0.028723087412073408,-1.5987211554602254e-14,-7.993605777301127e-15,7.993605777301127e-15,0.0,82.83910609378357,BF,,,,regional-validated,45281.980044514785,0.0,
referral,L878_s30_d0.1,fixed,878.0,30.0,0.35,0.1,-1.0,-1.0,50.0,30.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,416.33430321756236,1.0,1.0,1.0,0.0,False,0,54.0,90.53504407722356,881.4649559227764,90.53504407722356,60.0,40.0,0.0,836.3665696782438,30.0,BF,39852.86220519921,39436.52790198165,0.9525815144399131,0.256516341742706,0.06623224388381997,0.09188387805809058,0.2886756990630377,0.09188387805809058,0.09188387805809058,-56.22983027518308,-6.217248937900877e-14,6.217248937900877e-14,0.0,86.63665696782438,BF,,,,regional-validated,39436.52790198165,0.0,
referral,L878_s30_d0.1,online,878.0,30.0,0.35,0.1,-1.0,-1.0,50.0,30.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,416.33430321756236,1.0,1.0,1.0,0.0,False,0,54.0,90.53504364479036,881.4649563552097,90.53504364479036,60.00000000000108,39.99999999999999,0.0,836.3665696782438,30.0,BF,39852.8622051993,39436.52790198174,0.9525815144399131,0.25651637019708745,0.06623224198686076,0.0918838790065695,0.2886757278493868,0.0918838790065695,0.09188387900656951,-56.22983346207489,-8.526512829121202e-14,8.526512829121202e-14,0.0,86.63665696782438,BF,,,,regional-validated,39436.52790198174,0.0,
referral,L878_s30_d0.2,dual,878.0,30.0,0.35,0.2,-1.0,-1.0,50.0,30.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,1529.4616142199732,1.0,1.0,1.0,0.0,False,0,54.0,168.64709366152252,803.3529063384775,168.64709366152252,60.0,43.25156618802775,0.0,725.0538385780027,30.0,BF,41717.90713771694,40188.445523496965,0.8258016384715292,0.05670115210312431,0.020704333362275416,0.03204456378290028,0.0679167494271394,0.03204456378290028,0.03204456378290028,-33.850529035549926,-7.105427357601002e-15,7.105427357601002e-15,0.0,151.01076771560054,BF,,,,regional-validated,40188.445523496965,0.0,
referral,L878_s30_d0.2,fixed,878.0,30.0,0.35,0.2,-1.0,-1.0,50.0,30.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,1306.1352634178718,1.0,1.0,1.0,0.0,False,0,54.0,165.94541143591042,806.0545885640896,165.94541143591042,60.0,40.0,0.0,747.3864736582128,30.0,BF,40424.09663022707,39117.9613668092,0.8512374415241604,0.09552816693305487,0.03488195869464043,0.05398759208125141,0.11442382416149287,0.05398759208125141,0.0539875920812514,-38.199154696502156,-2.1316282072803006e-14,2.1316282072803006e-14,0.0,155.4772947316426,BF,,,,regional-validated,39117.9613668092,0.0,
referral,L878_s30_d0.2,online,878.0,30.0,0.35,0.2,-1.0,-1.0,50.0,30.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,1306.135263417873,1.0,1.0,1.0,0.0,False,0,54.0,165.94541053671458,806.0545894632854,165.94541053671458,59.99999999999993,40.000000000000014,0.0,747.3864736582127,30.0,BF,40424.09663022706,39117.96136680919,0.8512374415241603,0.09552817513878471,0.03488195760054289,0.05398759262829984,0.11442383255868965,0.05398759262829984,0.05398759262829983,-38.199155615543816,1.687538997430238e-14,1.687538997430238e-14,0.0,155.47729473164256,BF,,,,regional-validated,39117.96136680919,0.0,
referral,L878_s30_d0.35,dual,878.0,30.0,0.35,0.35,-1.0,-1.0,50.0,30.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,2410.5906283575096,1.0,1.0,1.0,0.0,False,0,54.0,256.7599945217551,715.2400054782449,256.7599945217551,60.0,33.84148000207978,0.0,636.940937164249,30.0,BF,36576.02806806151,34165.437439704,0.7254452587292131,0.04286204165613726,0.020704333124997854,0.035706047704645895,0.055359158352763324,0.035706047704645895,0.035706047704645895,-32.300548665487376,3.552713678800501e-15,3.552713678800501e-15,0.0,233.42932800748713,BF,,,,regional-validated,34165.437439704,0.0,
referral,L878_s30_d0.35,fixed,878.0,30.0,0.35,0.35,-1.0,-1.0,50.0,30.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,8780.0,1.0,1.0,1.0,0.0,False,0,54.0,476.25,495.75,476.25,60.0,40.0,0.0,0.0,30.0,B,1830.0,-6950.0,0.0,0.0021470746108427268,0.0021470746108427268,0.002898550724637681,0.0031615673644659155,0.002898550724637681,0.002898550724637681,-28.24617820719271,-1.444873859366613,0.0,0.0,10.5,B,,,,regional-validated,-6950.0,0.0,
referral,L878_s30_d0.35,online,878.0,30.0,0.35,0.35,-1.0,-1.0,50.0,30.0,20.0,0.0,112.0,168.0,972.0,60.0,80.0,2410.5906283575096,1.0,1.0,1.0,0.0,False,0,54.0,256.7599945217551,715.2400054782449,256.7599945217551,42.404228577370795,40.0,0.0,636.940937164249,30.0,BF,36576.02806806151,34165.437439704,0.7254452587292131,0.04286204165613726,0.020704333124997854,0.035706047704645895,0.055359158352763324,0.035706047704645895,0.035706047704645895,-14.70477724285817,3.552713678800501e-15,3.552713678800501e-15,0.0,233.42932800748713,BF,,,,regional-validated,34165.437439704,0.0,
